,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1st degree av block,0.024560019373893738,0.04113170877099037,0.03195037320256233,0.009606286883354187,0.033198077231645584,0.08720707893371582,0.019792776554822922,0.06399846076965332,0.04241208732128143,0.09903955459594727,0.09926240146160126,0.026171773672103882
premature atrial contraction,0.1621084362268448,0.14317432045936584,0.08421273529529572,0.09172752499580383,0.13956525921821594,0.23406386375427246,0.15497951209545135,0.20372433960437775,0.08499110490083694,0.15642061829566956,0.22561505436897278,0.14420466125011444
left axis deviation,-0.023721914738416672,-0.001987125724554062,0.030871029943227768,-0.0403858907520771,-0.025948412716388702,-0.0044347308576107025,-0.04187336191534996,-0.03453408554196358,0.07511304318904877,-0.03877019137144089,0.001686491072177887,-0.014158297330141068
sinus bradycardia,-0.03585091978311539,-0.04765571281313896,-0.045734234154224396,-0.028537295758724213,-0.03821534290909767,-0.02857980877161026,-0.030150137841701508,-0.009761471301317215,-0.011126849800348282,-0.04014228656888008,-0.026249151676893234,-0.017703890800476074
bradycardia,0.2918917238712311,0.11434541642665863,0.15422402322292328,0.12386149913072586,0.33537498116493225,0.5143857002258301,0.38613975048065186,0.49797773361206055,0.421269029378891,0.6512417793273926,0.6753613352775574,0.13678649067878723
sinus rhythm,0.029148012399673462,0.012177404016256332,0.6170328855514526,0.06924256682395935,0.557523250579834,-0.0028763338923454285,0.3020475506782532,0.031723979860544205,0.5780308246612549,0.17697979509830475,0.25512927770614624,0.009323719888925552
sinus tachycardia,-0.007675807923078537,0.020090226083993912,-0.008700501173734665,-0.0035198479890823364,-0.016934286803007126,0.011210564523935318,-0.022789333015680313,0.003448203206062317,-0.019264332950115204,-0.01578463241457939,0.00132644921541214,0.025762803852558136
premature ventricular contractions,0.5930710434913635,0.4212212860584259,0.5247056484222412,0.5025089979171753,0.687932550907135,0.7384493350982666,0.7207798957824707,0.6608261466026306,0.7819978594779968,0.8438811898231506,0.7995691299438477,0.5453323125839233
sinus arrhythmia,-0.034792762249708176,-0.053784504532814026,-0.013384576886892319,0.004064250737428665,-0.020476598292589188,-0.03006381168961525,0.019503433257341385,-0.04027971625328064,0.02905326336622238,-0.07137882709503174,-0.02616431936621666,0.006747107952833176
left anterior fascicular block,0.06063363701105118,0.04842939227819443,0.24996422231197357,-0.047663021832704544,0.13640651106834412,0.04946386069059372,0.016363833099603653,-0.010978497564792633,0.3657636046409607,-0.020556185394525528,0.08033661544322968,-0.024139340966939926
right axis deviation,-0.0054261088371276855,0.03440430760383606,-0.006252281367778778,-0.004814714193344116,-0.023030683398246765,0.03548424318432808,-0.004525125026702881,-0.01504134014248848,-0.024179425090551376,-0.018974103033542633,-0.02561589702963829,0.022230349481105804
right bundle branch block,0.08863426744937897,0.07282688468694687,0.0723685771226883,0.1404688060283661,0.0658690556883812,0.48442304134368896,0.1116299256682396,0.15166741609573364,0.19126665592193604,0.3745502233505249,0.2346310168504715,0.16238094866275787
t wave inversion,-0.05814908444881439,-0.05400138720870018,-0.05731276422739029,-0.019069142639636993,-0.02943112701177597,-0.028790578246116638,-0.012918367981910706,-0.030115440487861633,-0.00696941465139389,-0.07686169445514679,-0.03761272504925728,0.05578549578785896
supraventricular premature beats,0.5131667256355286,0.2175287902355194,0.47031867504119873,0.31289809942245483,0.43051931262016296,0.5190019607543945,0.6768440008163452,0.5172725915908813,0.5972307324409485,0.6346865892410278,0.516108512878418,0.1806923747062683
nonspecific intraventricular conduction disorder,0.01818997785449028,-0.010471001267433167,0.229686439037323,0.0821186751127243,0.3122536540031433,0.18920618295669556,0.310390442609787,0.10818134248256683,0.4899197220802307,0.17559927701950073,0.25790318846702576,0.11680608987808228
incomplete right bundle branch block,0.05745440348982811,0.0942123681306839,0.09791640937328339,0.01189875602722168,0.025401804596185684,0.09861184656620026,0.0368722528219223,0.002145979553461075,0.08664216101169586,0.03355710953474045,0.028523780405521393,0.0311833955347538
complete right bundle branch block,0.14751435816287994,0.18492481112480164,0.3863796889781952,0.1053222045302391,0.22747886180877686,0.3831475079059601,0.1986587643623352,0.11923093348741531,0.4126569628715515,0.30007922649383545,0.29054275155067444,0.12473036348819733
