,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
premature atrial contraction,0.017524931579828262,0.016286645084619522,0.01284974068403244,0.014093495905399323,0.018603257834911346,0.02702285721898079,0.023143775761127472,0.021797604858875275,0.016764018684625626,0.018830932676792145,0.023009110242128372,0.018514610826969147
left axis deviation,-0.002741582691669464,0.0011763013899326324,0.006522674113512039,-0.0022347010672092438,-0.0037350989878177643,0.004333041608333588,-0.010477639734745026,-0.009988665580749512,0.016256511211395264,-0.007678970694541931,0.004520241171121597,0.005473356693983078
sinus bradycardia,-0.003337457776069641,-0.013262186199426651,-0.008625760674476624,-0.002582363784313202,-0.002419881522655487,-0.0019983798265457153,0.0008568689227104187,0.0047759488224983215,0.007896333932876587,-0.006654456257820129,0.0009170323610305786,0.003127116709947586
bradycardia,0.00950571522116661,0.004228021949529648,0.006608184427022934,0.005716551095247269,0.011201616376638412,0.014204613864421844,0.010441917926073074,0.019140005111694336,0.013722702860832214,0.019244123250246048,0.024258993566036224,0.00488349050283432
sinus rhythm,0.0046404264867305756,-8.67992639541626e-07,0.037957556545734406,0.006613507866859436,0.04086267203092575,0.0002856440842151642,0.024501562118530273,0.003551322966814041,0.047723643481731415,0.012821465730667114,0.028915099799633026,0.0072989389300346375
sinus tachycardia,0.001182645559310913,0.007955905050039291,0.00204559788107872,0.0031088441610336304,-7.18235969543457e-06,0.004609227180480957,0.00028559938073158264,0.0032210424542427063,-0.0014672726392745972,0.0008078254759311676,0.0029871612787246704,0.008757386356592178
premature ventricular contractions,0.035649143159389496,0.029300905764102936,0.0298891831189394,0.03561065346002579,0.052057329565286636,0.03675580397248268,0.04752512276172638,0.046416059136390686,0.06245797500014305,0.0630076453089714,0.0518224872648716,0.034634824842214584
sinus arrhythmia,-0.0032915547490119934,-0.009146928787231445,-0.0005505457520484924,0.0035703592002391815,0.002567041665315628,-0.005909867584705353,0.0088312067091465,-0.007654901593923569,0.012280095368623734,-0.011488869786262512,-0.00027437880635261536,0.006732415407896042
left anterior fascicular block,0.005740020424127579,0.0023728273808956146,0.016710840165615082,-0.014013268053531647,0.012813910841941833,0.008843779563903809,-0.0038410909473896027,-0.0041294582188129425,0.03252094238996506,-0.006547536700963974,0.013674195855855942,-0.0007074140012264252
right axis deviation,-0.003990381956100464,0.007692299783229828,-0.002090848982334137,-0.0025664977729320526,-0.009050782769918442,0.005254644900560379,-0.00038687512278556824,-0.008152160793542862,-0.013344891369342804,-0.0079750195145607,-0.009639985859394073,0.006043002009391785
right bundle branch block,0.0019047707319259644,0.0014352910220623016,-0.0001218356192111969,0.0026337020099163055,0.00014991313219070435,0.0067259520292282104,0.0015936344861984253,0.0032518133521080017,0.00402885302901268,0.005127608776092529,0.003058638423681259,0.0029270946979522705
t wave inversion,-0.013554099947214127,-0.012423105537891388,-0.013281594961881638,-0.005965150892734528,-0.003179207444190979,-0.009930528700351715,-0.004472605884075165,-0.009908273816108704,-0.004032570868730545,-0.023318607360124588,-0.00870981439948082,0.004665691405534744
supraventricular premature beats,0.04223901033401489,0.01924249529838562,0.04323878884315491,0.02959275245666504,0.03693300485610962,0.043862879276275635,0.08163461089134216,0.050807446241378784,0.06504431366920471,0.05972611904144287,0.05090484023094177,0.015264749526977539
nonspecific intraventricular conduction disorder,0.0342995747923851,0.02269672602415085,0.060566049069166183,0.032019589096307755,0.0898401215672493,0.05689534544944763,0.0909392237663269,0.03877358138561249,0.1592056155204773,0.05159265547990799,0.05933237448334694,0.045409683138132095
incomplete right bundle branch block,0.005547031760215759,0.011588465422391891,0.006717715412378311,0.0061555951833724976,0.007111538201570511,0.012849193066358566,0.006223812699317932,-0.000212203711271286,0.0026098042726516724,0.005791597068309784,0.0061968304216861725,0.006597723811864853
complete right bundle branch block,0.004867542535066605,0.01008409634232521,0.016773108392953873,0.004499521106481552,0.010149050503969193,0.02052711695432663,0.00746535137295723,0.00603334978222847,0.015846997499465942,0.023018185049295425,0.017858155071735382,0.007642984390258789
